horn__;horn__;timpani;soprano;alto;tenor;bass;continuo;measure;composer;corpus
[['C5', 0.5], ['E5', 0.5], ['D5', 0.5], ['C5', 0.5], ['B4', 0.5], ['D5', 0.5], ['C5', 0.5], ['B4', 0.5]];[['G4', 2.0], ['G4', 0.5], ['B4', 0.5], ['A4', 0.5], ['G4', 0.5]];[('P', 2.0), ('P', 0.5), ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[('P', 2.0), ['B4', 2.0]];[('P', 2.0), ['G4', 2.0]];[('P', 2.0), ['D4', 2.0]];[('P', 2.0), ['G3', 2.0]];[['C3', 1.0], ('P', 1.0), ['G2', 1.0], ('P', 1.0)];51;bach;bwv79.3
[['A4', 1.0], ['A4', 0.5], ['C5', 0.5], ['B4', 1.0], ['B4', 0.5], ['D5', 0.5]];[['D4', 1.0], ['D4', 0.5], ['A4', 0.5], ['G4', 1.0], ['G4', 0.5], ['B4', 0.5]];[['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[['A4', 2.0], ['B4', 2.0]];[['F#4', 2.0], ['G4', 2.0]];[['D4', 2.0], ['D4', 2.0]];[['D4', 2.0], ['G3', 2.0]];[['D3', 1.0], ('P', 1.0), ['G3', 1.0], ('P', 1.0)];52;bach;bwv79.3
[['C5', 0.5], ['B4', 0.5], ['C5', 2.0], ['D5', 0.5], ['C5', 0.5]];[['A4', 0.5], ['G4', 0.5], ['A4', 2.0], ['B4', 0.5], ['A4', 0.5]];[['D3', 1.0], ('P', 1.0), ['D3', 1.0], ('P', 1.0)];[['A4', 2.0], ['A4', 2.0]];[['G4', 2.0], ['F#4', 2.0]];[['D4', 2.0], ['D4', 2.0]];[['D3', 2.0], ['D3', 2.0]];[['D3', 1.0], ('P', 1.0), ['D2', 1.0], ('P', 1.0)];53;bach;bwv79.3
[['B4', 0.5], ['A4', 0.5], ['G4', 0.5], ['A4', 0.5], ['B4', 0.5], ['A4', 0.5], ['B4', 0.5], ['C5', 0.5]];[['G4', 0.5], ['D4', 0.5], ['B3', 0.5], ['D4', 0.5], ['G4', 0.5], ['D4', 0.5], ['G4', 0.5], ['A4', 0.5]];[('P', 0.5), ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5]];[['G4', 4.0]];[['D4', 4.0]];[['B3', 4.0]];[['G3', 4.0]];[['G2', 1.0], ('P', 1.0), ['G3', 1.0], ('P', 1.0)];54;bach;bwv79.3
[['D5', 0.5], ['C5', 0.5], ['B4', 2.0], ['D5', 1.0]];[['B4', 0.5], ['A4', 0.5], ['G4', 2.0], ['B4', 1.0]];[['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['G2', 1.0], ('P', 1.0), ['G3', 1.0], ('P', 1.0)];55;bach;bwv79.3
[['E5', 0.5], ['D5', 0.5], ['C5', 2.0], ['E5', 1.0]];[['C5', 1.0], ['G4', 2.0], ['C5', 1.0]];[['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C3', 1.0], ('P', 1.0), ['E3', 1.0], ('P', 1.0)];56;bach;bwv79.3
[['D5', 0.5], ['C5', 0.5], ['B4', 2.0], ['G5', 1.0]];[['B4', 0.5], ['A4', 0.5], ['G4', 3.0]];[['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 0.5], ['G2', 1.0], ('P', 1.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['G3', 1.0], ('P', 1.0), ['B2', 1.0], ('P', 1.0)];57;bach;bwv79.3
[['A4', 1.0], ['A4', 0.5], ['G4', 0.5], ['A4', 1.0], ['C5', 0.5], ['A4', 0.5]];[['G4', 4.0]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['C3', 1.0], ('P', 1.0), ['A2', 1.0], ('P', 1.0)];58;bach;bwv79.3
[['B4', 0.5], ['D5', 0.5], ['C5', 0.5], ['A4', 0.5], ['B4', 0.5], ['D5', 0.5], ['C5', 0.5], ['A4', 0.5]];[['G4', 4.0]];[('P', 0.5), ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5], ['D3', 0.5]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['D3', 1.0], ('P', 1.0), ['B2', 1.0], ('P', 1.0)];59;bach;bwv79.3
[['B4', 1.0], ['B4', 0.5], ['C5', 0.25], ['D5', 0.25], ['B4', 1.0], ['A4', 0.5], ['G4', 0.5]];[['G4', 1.0], ['G4', 1.0], ['D4', 0.5], ['B3', 0.5], ['D4', 1.0]];[['G2', 1.0], ['G2', 1.0], ['D3', 1.0], ['D3', 1.0]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['E3', 1.0], ['C3', 1.0], ['D3', 1.0], ['D2', 1.0]];60;bach;bwv79.3
[['G4', 4.0]];[['B3', 4.0]];[['G2', 4.0]];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[('P', 4.0)];[['G2', 4.0]];61;bach;bwv79.3
